Title,Job_Type,Location
Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Administrator,Contract,Lagos
"Strategic Account Manager, Colo /Cloud / Data Centers",Full Time,Lagos
Computer Studies / Data Processing Teacher,Full Time,Lagos
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Abuja
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Adamawa 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Borno 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,  Ebonyi  
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Gombe
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Niger 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time, Oyo
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Sokoto
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Yobe
Data Engineer,Full Time,Lagos
Data Collector,Full Time,Edo
Data Entry Officer,Full Time,Lagos
Senior Data / GIS Analyst,Full Time,Borno
Data Analyst (Entry Level),Full Time,Lagos
"Team Lead, Data Centre Operations (Infrastructure)",Full Time,Lagos
Public Health Specialist (Data Analysis & Visualization),Full Time,Abuja
"Head, Solution & Data",Full Time,Delta
Claims Data & Reimbursement Officer,Full Time,Lagos
"Team Lead, Data Science",Full Time,Lagos
Data Centre Power Systems Technician,Full Time,Lagos
Data / GIS Consultant (PSPA),Full Time,Abia
Data Management Officer,Full Time,Abuja
ERP Data Entry Officer,Full Time,Lagos
Data Entry Personnel - Ota,Full Time,Ogun
Data Analytics & Insights Officer,Full Time,Lagos
Data Warehouse Developer,Full Time,Lagos
Data Entry Personnel,Full Time,Lagos
Head of Data and Research Methods Unit,Full Time,Lagos
Data Collector (Enumerator),Full Time,Cross River
Manager - Campaign Management (Data Devices FBB MoMo and Digital),Full Time,Lagos
Data Entry Officer,Contract,Lagos
Senior Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Researcher and Automation Expert,Full Time,Oyo
Research & Data Analyst,Full Time,Lagos
Senior Azure Data Engineer ,Full Time,Rivers
Senior Data Scientist,Full Time,Lagos
Data Centre Mechanical Technical Supervisor,Full Time,Lagos
Data Centre Electrical Technical Supervisor,Full Time,Lagos
Data Developer (SQL & DBA),Full Time,Lagos
Data Engineer,Full Time,Lagos
Sports Data Analyst,Full Time,Lagos
Data Center Facility Manager,Full Time,Lagos
Data Entry & Publicity Assistant,Full Time,Lagos
"Machine Learning, Data Coordinator",Full Time,Abuja
"Machine Learning, Data Coordinator",Full Time,Kano
Data Centre Service Delivery Manager,Full Time,Lagos
Senior Data & Reporting Specialist,Full Time,Lagos
Data Collector,Full Time,Lagos
Data Analytics Intern,Full Time,Lagos
Team Lead - Data Center Operations,Full Time,Lagos
Data Analyst,Full Time,Enugu
"Senior Manager, Data center Planning & Design",Full Time,Abia
ETL Developer / Data Engineer,Full Time,Lagos
"Data Analytics Tutor / Trainer (R, Python, and SQL)",Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Engineer-Talent Pipeline,Full Time,Lagos
HR Admin/Data Management Officer,Full Time,Abuja
SAP Data Migration Consultant,Full Time,Lagos
Data Analyst (Operations),Full Time,Lagos
Data Center Facility Lead,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Data Engineer,Full Time,Abuja
"Senior Data Analyst (Credit Risk, Bank)",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst (Operations),Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Center Facility Engineer,Full Time,Lagos
Data Analysis Instructor,Full Time,Abuja
Data Analyst,Full Time,Lagos
Sales Data Analyst,Full Time,Lagos
"Analyst, Data Architecture",Full Time,Lagos
"Analyst, Data Engineering",Full Time,Lagos
"Team Lead, Data Governance",Full Time,Lagos
"Associate, Data Engineering",Full Time,Lagos
"Associate, Data Architecture",Full Time,Lagos
"Head, Solutions and Data",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Clark,Full Time,Katsina
Python Data Scientist,Full Time,Abuja
Data Analysis Resource Person,Full Time,Abuja
Data Engineer,Full Time,Lagos
Junior Data Engineer,Full Time,Lagos
People Data Analyst,Full Time,Lagos
Data/Business Intelligence Analyst (Onsite),Full Time,Lagos
Programme Analyst / Data Processing Assistant,Full Time,Cross River
System Support / Data Entry Officer,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Senior Associate Data and Analytics,Full Time,Lagos
Big Data Solution Manager,Full Time,Lagos
Data Collector,Full Time,Not specified
Data Quality Analyst Lead,Not specified,Remote
Data Processing Teacher,Full Time,Lagos
"Head, Performance & Data Management",Full Time,Abia
"Strategic Account Manager, Colo/Cloud/Data Centers",Full Time,Lagos
Data Engineers,Full Time,Lagos
"Associate, Business Intelligence & Data Analytics",Full Time,Lagos
Data Entry Clerk and Social Media Attendant (Male),Full Time,Lagos
"Social and Behaviour Change Research and Data Specialist, P3 (Re-Advertised)",Contract,Abuja
"Head, Performance & Data Management",Full Time,Not specified
Data Engineering Instructor/Trainer,Full Time,Lagos
Programme Analyst / Data Processing Assistant,Full Time,Cross River
System Support / Data Entry Officer,Full Time,Lagos
ERP Data Entry Officer,Full Time,Lagos
Senior Associate Data and Analytics,Full Time,Lagos
Big Data Solution Manager,Full Time,Lagos
Data Collector,Full Time,Not specified
Data Quality Analyst Lead,Not specified,Remote
Data Processing Teacher,Full Time,Lagos
"Head, Performance & Data Management",Full Time,Abia
"Strategic Account Manager, Colo/Cloud/Data Centers",Full Time,Lagos
Data Engineers,Full Time,Lagos
"Associate, Business Intelligence & Data Analytics",Full Time,Lagos
Data Entry Clerk and Social Media Attendant (Male),Full Time,Lagos
"Social and Behaviour Change Research and Data Specialist, P3 (Re-Advertised)",Contract,Abuja
"Head, Performance & Data Management",Full Time,Not specified
Data Engineering Instructor/Trainer,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Collections Officer,Contract,Lagos
Data Analyst,Full Time,Lagos
ICT / Data Processing Instructor,Full Time,Lagos
Data Scientist,Full Time,Lagos
Senior Data and Analytics Consultant,Full Time,Lagos
Data Analysis Resource Person,Full Time,Abuja
Data Analyst,Full Time,Abia
Data Processing Specialist,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Expert M/F,Full Time,Rivers
Team Lead Market Data Sales,Full Time,Lagos
Data Analyst,Full Time,Lagos
Freelance Data Entry Officer,Part Time,Lagos
Data Entry Assistant,Full Time,Rivers
Data Analyst,Full Time,Lagos
Fraud Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Manager Data Analytics,Full Time,Lagos
Data Entry Operator,Full Time,Lagos
Data Centre Migration Specialist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry (Business),Full Time,Lagos
Product Manager (Data & Platforms),Full Time,Lagos
Data Entry (Sport),Full Time,Lagos
"Senior Analyst, Applications & Data Security Mgt",Full Time,Lagos
Product Manager - Data and AI,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Centre Engineer (on Demand Model),Full Time,Lagos
Data Engineer Intern,Full Time,Lagos
Master Data Manager,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Manager,Full Time,Abuja
"Assistant/Associate Professor, Data Analytics",Full Time,Adamawa
Analyst - Data Proposition Mass Market,Full Time,Lagos
Lead Data Center Operations Officer,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Analyst,Full Time,Oyo
Data Capturer (OMAO),Full Time,Lagos
HR Data Analyst,Full Time,Lagos
Lead Data Analyst,Full Time,Lagos
Store Inventory Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Computer/Data Processing Teacher (Secondary School),Full Time,Abia
Data Entry Officer,Full Time,Lagos
Data Science Executive,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst- Transaction Switching & Payment Processing,Full Time,Lagos
Data Expert M/F,Full Time,Rivers
Fleet Accountant Data/Analyst,Full Time,Lagos
"Senior Architect - Information & Master Data, Information Technology",Full Time,Lagos
Data Management and Reporting Officer,Full Time,Yobe
Data Manager and Analyst,Full Time,Katsina
Data Manager,Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Remote
Data Dashboard Developer,Full Time,Not specified
Data Analyst Scripting & VBA,Full Time,Not specified
Data Analyst,Full Time,Not specified
Data Analyst Officer,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data & Analytics Lead (Africa),Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Nigeria and Ghana Cluster Data Protection Office (DPO),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officers,Full Time,Lagos
Cloud Data Engineer,Full Time,Lagos
Data Engineering Instructor/Trainer,Full Time,Abia
Data Collector (Enumerator),Full Time,Cross River
Data Collector (Enumerator),Full Time,Kaduna
Data Collector (Enumerator),Full Time,Plateau
Data Analyst – Nigeria IHP,Full Time,Sokoto
Data Comms Engineer,Full Time,Rivers
Data Warehousing Instructor/Trainer,Full Time,Remote
Data Center Design Specialist,Full Time,Lagos
Data Entry Specialist,Full Time,Abuja
Data Intern - OTL,Full Time,Borno
